sku,name,category_code,current_price
BEV-001,Nước khoáng,BEVERAGE,12000
BEV-002,Trà đóng chai,BEVERAGE,18000
SNK-001,Bánh quy,SNACK,25000
SNK-002,Hạt dinh dưỡng,SNACK,45000
CAR-001,Khăn giấy,CARE,15000
CAR-002,Nước rửa tay,CARE,38000
BEV-003,Nước cam,BEVERAGE,22000
BEV-004,Cà phê lon,BEVERAGE,21000
SNK-003,Khoai tây lát,SNACK,28000
SNK-004,Kẹo bạc hà,SNACK,16000
CAR-003,Dầu gội gói,CARE,9000
CAR-004,Kem đánh răng,CARE,42000
HOU-001,Nước rửa chén,HOUSEHOLD,36000
HOU-002,Túi đựng rác,HOUSEHOLD,24000
HOU-003,Miếng rửa bát,HOUSEHOLD,12000
HOU-004,Nước lau sàn,HOUSEHOLD,52000
DAI-001,Sữa tươi,DAIRY,34000
DAI-002,Sữa chua,DAIRY,26000
DAI-003,Bơ lạt,DAIRY,59000
DAI-004,Phô mai lát,DAIRY,48000
STA-001,Bút bi,STATIONERY,7000
STA-002,Sổ tay,STATIONERY,32000
STA-003,Băng keo,STATIONERY,11000
STA-004,Bút đánh dấu,STATIONERY,15000
